epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6885,0.6947,3.45894,0.90037,0.00333,1,0.64903,0.58684,0.42833,3.2585,0.77561,8e-05,8e-05,8e-05
2,60.8913,0.44551,2.32421,0.79829,0.00333,1,0.96112,0.86337,0.43606,3.11727,0.73811,0.00016218,0.00016218,0.00016218
3,90.3322,0.40689,1.58573,0.78864,0.00333,1,0.995,0.914,0.37987,3.06561,0.7213,0.00022456,0.00022456,0.00022456
4,119.941,0.36468,1.42091,0.81312,0.00333,1,0.99262,0.93484,0.32658,3.04099,0.71415,0.00026714,0.00026714,0.00026714
5,149.614,0.32153,1.37074,0.79287,0.00333,1,0.995,0.97622,0.29187,3.01698,0.71,0.00028992,0.00028992,0.00028992
6,178.577,0.36386,1.32324,0.79522,0.00333,1,0.995,0.97447,0.33034,3.00528,0.71179,0.0002929,0.0002929,0.0002929
7,207.58,0.33155,1.3047,0.77659,1,0.24688,0.995,0.96957,0.30294,2.91994,0.71388,0.00027608,0.00027608,0.00027608
8,236.499,0.32407,1.25734,0.82749,1,0.57962,0.995,0.9722,0.29978,2.85365,0.71517,0.00023946,0.00023946,0.00023946
9,265.432,0.33458,1.26175,0.78029,1,0.65866,0.995,0.95854,0.30678,2.82501,0.71674,0.00018304,0.00018304,0.00018304
10,294.306,0.27213,1.19021,0.81797,1,0.67326,0.995,0.96287,0.28382,2.79785,0.71595,0.00010682,0.00010682,0.00010682
