相机名,模型,宽,高,gamma1,gamma2,u0,v0,k1,k2
back_120,MEI,3840,2160,15120.487741739447,15089.000943125846,1916.0668485140952,1100.3588325202468,3.7907476281711796,213.37843534086457
back_fish_eye,MEI,1920,1280,996.8351309971039,998.3376569907472,961.9305640167709,642.3297847956837,0.2862018824807059,-0.2708978673798508
front_120,MEI,3840,2160,4238.609331970091,4224.3512966406915,1926.5715847651911,1088.3891957199476,-0.4540382069750924,0.21425673994294858
front_60,MEI,1920,1080,107755.652037794,107747.83004990047,939.5405716789217,598.9701259299704,67.06783859399012,-1302046.6794204288
front_fish_eye,MEI,1920,1280,971.1311244468116,972.7696787513677,959.9418167455528,636.4108520410682,0.21869117987424613,-0.2180225425981853
left_back_100,MEI,1920,1080,2120.415524499963,2118.5453675117624,968.8819758061348,540.61674885627,-0.28702555956937953,0.10597702174227457
left_back_60,MEI,1920,1080,2671.0021548544114,2676.5364833086146,927.424145236521,551.4392969793078,-0.6597500432347161,0.3114399159795473
left_fish_eye,MEI,1920,1280,993.2541964277584,994.246256013149,958.8764364031115,641.4515782640062,0.26141390911169,-0.2500085713566542
left_front_100,MEI,1920,1080,5480.464875990463,5494.362887794268,988.3073088048009,532.8123625513393,1.4412767079892956,33.340214144227545
right_back_100,MEI,1920,1080,18556.300525136987,18549.71779074312,944.4759173406532,554.3038205737822,30.90984946195309,11299.606807372693
right_back_60,MEI,1920,1080,2182.103041611681,2189.280049632105,889.4769667096244,564.9985810918182,-0.5678701802564335,0.2807177452675244
right_fish_eye,MEI,1920,1280,995.1192857988477,995.471989935207,961.0966022832409,638.5239151158727,0.2902109363893506,-0.2684569788489657
right_front_100,MEI,1920,1080,1698.1227809457046,1693.4686432949181,976.1512242639312,533.7894667963135,-0.3255094582890734,0.1276367436292885
